method,scenario,init,w_linear,w_nonlinear,nl_residual,iters,converged,elapsed_s,source
dq-newton,no_foundation,zero,,-0.46520091848610334,,6,True,0.0007245540618896484,dq_baseline.csv
dq-newton,no_foundation,linear,,-0.46520091848607237,,5,True,0.0006959438323974609,dq_baseline.csv
dq-newton,no_foundation,gauss,,-0.46520091848609596,,6,True,0.0008192062377929688,dq_baseline.csv
dq-newton,no_foundation,random,,-0.465200918486113,,5,True,0.0006613731384277344,dq_baseline.csv
dq-picard,no_foundation,zero,,-0.4652009184822028,,22,True,0.009794950485229492,dq_baseline.csv
dq-picard,no_foundation,linear,,-0.4652009184822028,,21,True,0.009752988815307617,dq_baseline.csv
dq-picard,no_foundation,gauss,,-0.46520091847991896,,22,True,0.010032892227172852,dq_baseline.csv
dq-picard,no_foundation,random,,-0.4652009184920284,,21,True,0.009865283966064453,dq_baseline.csv
fem-newton,no_foundation,zero,-0.5211261268211423,-0.46520040510414734,1.9684254226604025e-13,,True,8.946678876876831,fem_baseline.csv
fem-newton,no_foundation,linear,-0.5211261268211423,-0.46520040519070777,3.1077224127429304e-13,,True,5.2736968994140625,fem_baseline.csv
fem-newton,no_foundation,gauss,-0.5211261268211423,-0.46782793264021943,1.8182792617655759,,False,67.50010108947754,fem_baseline.csv
fem-newton,no_foundation,random,-0.5211261268211423,-0.04333735883068106,76.32419218102069,,False,63.95764923095703,fem_baseline.csv
odil-lm,no_foundation,linear,-0.5211266731277776,-0.4652009185202798,1.638236091241424e-11,5,True,0.24287009239196777,odil/sweep_index.json
odil-lm,no_foundation,random,-0.5211266731277776,-0.4652009185155693,1.4123510624506975e-11,6,True,0.2487165927886963,odil/sweep_index.json
odil-gn,no_foundation,linear,-0.5211270299456428,-0.4652009185710251,4.075894025934986e-11,45,True,1.2002642154693604,odil/sweep_index.json
odil-gn,no_foundation,random,-0.5211270299456428,-0.46520091844309686,2.063305317347624e-11,46,True,1.324089765548706,odil/sweep_index.json
odil-lbfgs,no_foundation,linear,-0.5211268811834757,-0.46520084020996216,4.531477311989992e-08,18141,True,651.5304329395294,odil/sweep_index.json
odil-lbfgs,no_foundation,random,-0.5211268811834757,-0.46520079472587184,6.635403989720419e-08,329,True,11.171101808547974,odil/sweep_index.json
dq-newton,with_foundation,zero,,-0.42895266601266974,,5,True,0.0006644725799560547,dq_baseline.csv
dq-newton,with_foundation,linear,,-0.4289526660126778,,4,True,0.0006253719329833984,dq_baseline.csv
dq-newton,with_foundation,gauss,,-0.4289526660127189,,6,True,0.001024007797241211,dq_baseline.csv
dq-newton,with_foundation,random,,-0.42895266601267323,,5,True,0.02531290054321289,dq_baseline.csv
dq-picard,with_foundation,zero,,-0.42895266601559745,,19,True,0.008837223052978516,dq_baseline.csv
dq-picard,with_foundation,linear,,-0.42895266601559745,,18,True,0.008117198944091797,dq_baseline.csv
dq-picard,with_foundation,gauss,,-0.42895266601738097,,19,True,0.008526086807250977,dq_baseline.csv
dq-picard,with_foundation,random,,-0.4289526660078716,,18,True,0.008211851119995117,dq_baseline.csv
fem-newton,with_foundation,zero,-0.46833958713851925,-0.42895223212727457,1.2720120096121335e-13,,True,10.28239369392395,fem_baseline.csv
fem-newton,with_foundation,linear,-0.46833958713851925,-0.4289522321090156,1.1600442828552104e-13,,True,5.880652189254761,fem_baseline.csv
fem-newton,with_foundation,gauss,-0.46833958713851925,-0.06228212413152892,309.9886080070472,,False,73.84672784805298,fem_baseline.csv
fem-newton,with_foundation,random,-0.46833958713851925,-0.42895223209881467,5.602984502418862e-05,,False,72.0891501903534,fem_baseline.csv
odil-lm,with_foundation,linear,-0.4683401009157067,-0.42895266602417653,5.733578503183715e-12,5,True,0.12052273750305176,odil/sweep_index.json
odil-lm,with_foundation,random,-0.4683401009157067,-0.42895266602153026,4.415435526946475e-12,6,True,0.12575078010559082,odil/sweep_index.json
odil-gn,with_foundation,linear,-0.4683402729878882,-0.4289526660399755,1.365200224793248e-11,45,True,1.0734741687774658,odil/sweep_index.json
odil-gn,with_foundation,random,-0.4683402729878882,-0.4289526659983108,7.199187362027524e-12,46,True,1.1547822952270508,odil/sweep_index.json
odil-lbfgs,with_foundation,linear,-0.4683401549706079,-0.4289526005510765,4.7985647254850244e-08,27570,True,1033.3360464572906,odil/sweep_index.json
odil-lbfgs,with_foundation,random,-0.4683401549706079,-0.42895260333346924,4.338896916007072e-08,343,True,11.542552709579468,odil/sweep_index.json
