scenario,k1,k2,init_guess,init_seed,init_scale,method,w_mid,iters,converged,ref_nonlinear,elapsed_s
with_foundation,0.01,0.001,random,0,0.01,newton,-0.42895266601267323,5,True,-0.42895,0.02531290054321289
with_foundation,0.01,0.001,random,0,0.01,picard,-0.4289526660078716,18,True,-0.42895,0.008211851119995117
with_foundation,0.01,0.001,gauss,0,0.01,newton,-0.4289526660127189,6,True,-0.42895,0.001024007797241211
with_foundation,0.01,0.001,gauss,0,0.01,picard,-0.42895266601738097,19,True,-0.42895,0.008526086807250977
with_foundation,0.01,0.001,zero,0,0.01,newton,-0.42895266601266974,5,True,-0.42895,0.0006644725799560547
with_foundation,0.01,0.001,zero,0,0.01,picard,-0.42895266601559745,19,True,-0.42895,0.008837223052978516
with_foundation,0.01,0.001,linear,0,0.01,newton,-0.4289526660126778,4,True,-0.42895,0.0006253719329833984
with_foundation,0.01,0.001,linear,0,0.01,picard,-0.42895266601559745,18,True,-0.42895,0.008117198944091797
no_foundation,0.0,0.0,random,0,0.01,newton,-0.465200918486113,5,True,-0.4652,0.0006613731384277344
no_foundation,0.0,0.0,random,0,0.01,picard,-0.4652009184920284,21,True,-0.4652,0.009865283966064453
no_foundation,0.0,0.0,gauss,0,0.01,newton,-0.46520091848609596,6,True,-0.4652,0.0008192062377929688
no_foundation,0.0,0.0,gauss,0,0.01,picard,-0.46520091847991896,22,True,-0.4652,0.010032892227172852
no_foundation,0.0,0.0,zero,0,0.01,newton,-0.46520091848610334,6,True,-0.4652,0.0007245540618896484
no_foundation,0.0,0.0,zero,0,0.01,picard,-0.4652009184822028,22,True,-0.4652,0.009794950485229492
no_foundation,0.0,0.0,linear,0,0.01,newton,-0.46520091848607237,5,True,-0.4652,0.0006959438323974609
no_foundation,0.0,0.0,linear,0,0.01,picard,-0.4652009184822028,21,True,-0.4652,0.009752988815307617
