scenario,init_guess,method,iteration,residual
with_foundation,random,newton,1,104.56757793129319
with_foundation,random,newton,2,2.9587861158676363
with_foundation,random,newton,3,0.0110911637454958
with_foundation,random,newton,4,1.0372070296298677e-06
with_foundation,random,newton,5,4.0238979275900714e-14
with_foundation,random,picard,1,0.990627807589865
with_foundation,random,picard,2,0.04130571376988482
with_foundation,random,picard,3,0.02306009292917581
with_foundation,random,picard,4,0.004706106562447413
with_foundation,random,picard,5,0.0013889557743507338
with_foundation,random,picard,6,0.0003585874951116004
with_foundation,random,picard,7,9.778172623653618e-05
with_foundation,random,picard,8,2.613185684085085e-05
with_foundation,random,picard,9,7.0410144512597605e-06
with_foundation,random,picard,10,1.8912808578174369e-06
with_foundation,random,picard,11,5.086468111984444e-07
with_foundation,random,picard,12,1.3673168183485247e-07
with_foundation,random,picard,13,3.6762478026216466e-08
with_foundation,random,picard,14,9.883417824325811e-09
with_foundation,random,picard,15,2.657235752947521e-09
with_foundation,random,picard,16,7.144387916822397e-10
with_foundation,random,picard,17,1.9207896025027258e-10
with_foundation,random,picard,18,5.172858852549086e-11
with_foundation,gauss,newton,1,106.75616008040981
with_foundation,gauss,newton,2,4.453557761165578
with_foundation,gauss,newton,3,0.07210040087606699
with_foundation,gauss,newton,4,0.0004233863154292356
with_foundation,gauss,newton,5,1.3012848228311125e-08
with_foundation,gauss,newton,6,3.90758845294025e-14
with_foundation,gauss,picard,1,1.0116255486668941
with_foundation,gauss,picard,2,0.24211500537277825
with_foundation,gauss,picard,3,0.06872696959895726
with_foundation,gauss,picard,4,0.017802002724681618
with_foundation,gauss,picard,5,0.004879987593856104
with_foundation,gauss,picard,6,0.001300825735487366
with_foundation,gauss,picard,7,0.0003509581211232202
with_foundation,gauss,picard,8,9.421405153517323e-05
with_foundation,gauss,picard,9,2.5343765126207483e-05
with_foundation,gauss,picard,10,6.81203423630892e-06
with_foundation,gauss,picard,11,1.8315811104336231e-06
with_foundation,gauss,picard,12,4.924038454447187e-07
with_foundation,gauss,picard,13,1.323852267397559e-07
with_foundation,gauss,picard,14,3.55916655444814e-08
with_foundation,gauss,picard,15,9.5687542826397e-09
with_foundation,gauss,picard,16,2.572486337271135e-09
with_foundation,gauss,picard,17,6.915027120116862e-10
with_foundation,gauss,picard,18,1.858693139931165e-10
with_foundation,gauss,picard,19,5.003261014337679e-11
with_foundation,zero,newton,1,0.265329983228432
with_foundation,zero,newton,2,1.195631195502523
with_foundation,zero,newton,3,0.008949190505393096
with_foundation,zero,newton,4,3.38640304127094e-05
with_foundation,zero,newton,5,5.882632508764146e-11
with_foundation,zero,picard,1,1.0
with_foundation,zero,picard,2,0.129230023033946
with_foundation,zero,picard,3,0.04425727262384678
with_foundation,zero,picard,4,0.010892026822571036
with_foundation,zero,picard,5,0.0030293591056521135
with_foundation,zero,picard,6,0.0008030218154395744
with_foundation,zero,picard,7,0.00021701781701764114
with_foundation,zero,picard,8,5.821622717514699e-05
with_foundation,zero,picard,9,1.5663798901491608e-05
with_foundation,zero,picard,10,4.20976515610114e-06
with_foundation,zero,picard,11,1.131932830092758e-06
with_foundation,zero,picard,12,3.043048573565343e-07
with_foundation,zero,picard,13,8.181403245939052e-08
with_foundation,zero,picard,14,2.1995509089935837e-08
with_foundation,zero,picard,15,5.9135044122122986e-09
with_foundation,zero,picard,16,1.5898033752271035e-09
with_foundation,zero,picard,17,4.2738153161391e-10
with_foundation,zero,picard,18,1.1488353958966061e-10
with_foundation,zero,picard,19,3.086320347954265e-11
with_foundation,linear,newton,1,1.195631195502914
with_foundation,linear,newton,2,0.008949190505403867
with_foundation,linear,newton,3,3.3864030417785186e-05
with_foundation,linear,newton,4,5.881292386606286e-11
with_foundation,linear,picard,1,0.129230023033946
with_foundation,linear,picard,2,0.04425727262384678
with_foundation,linear,picard,3,0.010892026822571036
with_foundation,linear,picard,4,0.0030293591056521135
with_foundation,linear,picard,5,0.0008030218154395744
with_foundation,linear,picard,6,0.00021701781701764114
with_foundation,linear,picard,7,5.821622717514699e-05
with_foundation,linear,picard,8,1.5663798901491608e-05
with_foundation,linear,picard,9,4.20976515610114e-06
with_foundation,linear,picard,10,1.131932830092758e-06
with_foundation,linear,picard,11,3.043048573565343e-07
with_foundation,linear,picard,12,8.181403245939052e-08
with_foundation,linear,picard,13,2.1995509089935837e-08
with_foundation,linear,picard,14,5.9135044122122986e-09
with_foundation,linear,picard,15,1.5898033752271035e-09
with_foundation,linear,picard,16,4.2738153161391e-10
with_foundation,linear,picard,17,1.1488353958966061e-10
with_foundation,linear,picard,18,3.086320347954265e-11
no_foundation,random,newton,1,104.54475984115152
no_foundation,random,newton,2,3.106854857778169
no_foundation,random,newton,3,0.013085962142226357
no_foundation,random,newton,4,2.0477108077894807e-06
no_foundation,random,newton,5,6.29084332906145e-14
no_foundation,random,picard,1,0.9913888778533745
no_foundation,random,picard,2,0.06918352957144282
no_foundation,random,picard,3,0.03656901671572996
no_foundation,random,picard,4,0.010000530166418628
no_foundation,random,picard,5,0.0034114634716490054
no_foundation,random,picard,6,0.0010854273416316981
no_foundation,random,picard,7,0.00035444423804445826
no_foundation,random,picard,8,0.00011476012579788305
no_foundation,random,picard,9,3.72730555227016e-05
no_foundation,random,picard,10,1.2093056947861099e-05
no_foundation,random,picard,11,3.9250393058007505e-06
no_foundation,random,picard,12,1.2737786516128967e-06
no_foundation,random,picard,13,4.133943820226479e-07
no_foundation,random,picard,14,1.3416150376127867e-07
no_foundation,random,picard,15,4.354053473083413e-08
no_foundation,random,picard,16,1.4130572495724016e-08
no_foundation,random,picard,17,4.585953727034412e-09
no_foundation,random,picard,18,1.488414442378431e-09
no_foundation,random,picard,19,4.831914518543663e-10
no_foundation,random,picard,20,1.5675724337644936e-10
no_foundation,random,picard,21,5.0731669533059165e-11
no_foundation,gauss,newton,1,106.7465414669004
no_foundation,gauss,newton,2,4.706616230425416
no_foundation,gauss,newton,3,0.11405406483126072
no_foundation,gauss,newton,4,0.0015705888581834756
no_foundation,gauss,newton,5,2.126828921518647e-07
no_foundation,gauss,newton,6,4.525410060550783e-14
no_foundation,gauss,picard,1,1.0102904850325802
no_foundation,gauss,picard,2,0.32105135322220874
no_foundation,gauss,picard,3,0.10322479976500083
no_foundation,gauss,picard,4,0.033024791151894294
no_foundation,gauss,picard,5,0.010818423452064263
no_foundation,gauss,picard,6,0.003494877020627488
no_foundation,gauss,picard,7,0.0011364347868900704
no_foundation,gauss,picard,8,0.0003685026490552422
