scenario,init_guess,iteration,residual
with_foundation,random,1,141.7742836105881
with_foundation,random,2,140.66943266316383
with_foundation,random,3,136.3229544840477
with_foundation,random,4,135.26319429393408
with_foundation,random,5,131.08659882486577
with_foundation,random,6,131.08301206757756
with_foundation,random,7,127.03031378270279
with_foundation,random,8,125.06131094729541
with_foundation,random,9,124.0899829583926
with_foundation,random,10,122.15896279105665
with_foundation,random,11,120.25862510724305
with_foundation,random,12,116.54382280930663
with_foundation,random,13,112.95185058055675
with_foundation,random,14,112.07174455342445
with_foundation,random,15,110.33500759500808
with_foundation,random,16,109.47617000570278
with_foundation,random,17,109.36934247810332
with_foundation,random,18,107.67010459751866
with_foundation,random,19,104.34935737866428
with_foundation,random,20,101.12017595651133
with_foundation,random,21,101.02147149064132
with_foundation,random,22,99.45328614538847
with_foundation,random,23,96.3748154107685
with_foundation,random,24,95.62328087420485
with_foundation,random,25,94.13882383281977
with_foundation,random,26,94.1163085613527
with_foundation,random,27,91.23282264745623
with_foundation,random,28,90.52161546938504
with_foundation,random,29,87.72905051542784
with_foundation,random,30,86.36654720142997
with_foundation,random,31,86.28231581676556
with_foundation,random,32,80.98909700414515
with_foundation,random,33,79.73482232276575
with_foundation,random,34,77.27023757530215
with_foundation,random,35,76.0688904312756
with_foundation,random,36,74.88848769946817
with_foundation,random,37,73.72426938951796
with_foundation,random,38,71.4422209029528
with_foundation,random,39,71.30316564376594
with_foundation,random,40,62.733843552436056
with_foundation,random,41,58.90502136278593
with_foundation,random,42,58.79053035176811
with_foundation,random,43,51.74140114006246
with_foundation,random,44,48.572292905598715
with_foundation,random,45,39.38208728275881
with_foundation,random,46,16.058165398430166
with_foundation,random,47,4.489537268973662
with_foundation,random,48,0.80306736881019
with_foundation,random,49,0.027631292662696507
with_foundation,random,50,5.602984502418862e-05
with_foundation,gauss,1,781.9643482282753
with_foundation,gauss,2,769.7701218542454
with_foundation,gauss,3,769.5822771201083
with_foundation,gauss,4,757.5793012353165
with_foundation,gauss,5,751.6679340286765
with_foundation,gauss,6,728.2593429366625
with_foundation,gauss,7,725.4148383617135
with_foundation,gauss,8,714.1115594834068
with_foundation,gauss,9,702.9818396265972
with_foundation,gauss,10,702.896194163925
with_foundation,gauss,11,691.9453163440727
with_foundation,gauss,12,686.5483346522294
with_foundation,gauss,13,675.854645567287
with_foundation,gauss,14,674.5362413194383
with_foundation,gauss,15,674.3717720211698
with_foundation,gauss,16,653.3887674081521
with_foundation,gauss,17,650.8365325349268
with_foundation,gauss,18,640.6931200622467
with_foundation,gauss,19,630.7103686511382
with_foundation,gauss,20,620.8882338736638
with_foundation,gauss,21,616.0500869755556
with_foundation,gauss,22,613.6474063066194
with_foundation,gauss,23,594.5963478617703
with_foundation,gauss,24,593.4357012977002
with_foundation,gauss,25,591.1187967325436
with_foundation,gauss,26,572.7563217580084
with_foundation,gauss,27,570.5208187299036
with_foundation,gauss,28,552.7761060686626
with_foundation,gauss,29,518.6081784268544
with_foundation,gauss,30,502.4748715766451
with_foundation,gauss,31,500.512349433581
with_foundation,gauss,32,469.5730551617917
with_foundation,gauss,33,462.25949383081826
with_foundation,gauss,34,447.9204268501425
with_foundation,gauss,35,444.42703896489957
with_foundation,gauss,36,437.5073079746789
with_foundation,gauss,37,423.93593251584576
with_foundation,gauss,38,410.78809523261236
with_foundation,gauss,39,385.4370618133624
with_foundation,gauss,40,383.9337299226716
with_foundation,gauss,41,380.9385789290274
with_foundation,gauss,42,377.96452118050433
with_foundation,gauss,43,366.24211410803315
with_foundation,gauss,44,354.89231484618705
with_foundation,gauss,45,349.3640436898903
with_foundation,gauss,46,338.52993253219677
with_foundation,gauss,47,335.88835330417936
with_foundation,gauss,48,315.20319052149694
with_foundation,gauss,49,310.29182249351607
with_foundation,gauss,50,309.9886080070472
with_foundation,zero,1,5.333333333333333e-05
with_foundation,zero,2,4.0462455902652225e-05
with_foundation,zero,3,3.086219921073774e-05
with_foundation,zero,4,2.963974212509199e-05
with_foundation,zero,5,2.861760309273015e-05
with_foundation,zero,6,1.1541438873843846e-05
with_foundation,zero,7,9.931381585170929e-09
with_foundation,zero,8,1.2720120096121335e-13
with_foundation,linear,1,0.0003813482868063045
with_foundation,linear,2,2.1603467146580346e-06
with_foundation,linear,3,1.180796788818883e-08
with_foundation,linear,4,1.1600442828552104e-13
no_foundation,random,1,141.71547556973647
no_foundation,random,2,140.6105244433053
no_foundation,random,3,136.25969920113317
no_foundation,random,4,135.7283036065111
no_foundation,random,5,135.19880330577485
no_foundation,random,6,131.03989630322053
no_foundation,random,7,130.91200940649767
no_foundation,random,8,126.88360903020333
no_foundation,random,9,125.89506520121205
no_foundation,random,10,123.94132443827618
no_foundation,random,11,122.02169612636582
no_foundation,random,12,120.12443581252055
no_foundation,random,13,116.41175800551275
no_foundation,random,14,114.60416507581147
no_foundation,random,15,112.828012352868
no_foundation,random,16,111.94901086373952
no_foundation,random,17,110.21235714299735
no_foundation,random,18,108.5017293595505
no_foundation,random,19,107.65720132868665
no_foundation,random,20,106.87419912173198
no_foundation,random,21,105.22353926174992
no_foundation,random,22,105.12124984436028
no_foundation,random,23,103.50141421708565
no_foundation,random,24,102.69939020035092
no_foundation,random,25,102.49913273694068
no_foundation,random,26,101.70274620111314
no_foundation,random,27,101.50552995392296
no_foundation,random,28,100.71935117942168
no_foundation,random,29,99.93844087937815
no_foundation,random,30,99.54986959477338
no_foundation,random,31,99.45312967479776
no_foundation,random,32,96.41967459771689
no_foundation,random,33,94.93431969951699
no_foundation,random,34,94.19801437215267
no_foundation,random,35,94.10680497311202
no_foundation,random,36,93.37357722087978
no_foundation,random,37,93.28262755330164
no_foundation,random,38,92.92004312362394
no_foundation,random,39,91.48844085130878
no_foundation,random,40,90.08178300797896
no_foundation,random,41,87.34465073610687
no_foundation,random,42,87.17540417064697
no_foundation,random,43,84.54752160370369
no_foundation,random,44,83.24311754594962
no_foundation,random,45,83.08115488600953
no_foundation,random,46,80.58094296444028
no_foundation,random,47,79.3374029710083
no_foundation,random,48,78.11456370107499
no_foundation,random,49,77.51864445682011
no_foundation,random,50,76.32419218102069
no_foundation,gauss,1,781.8598523665127
no_foundation,gauss,2,757.5200416292696
no_foundation,gauss,3,745.7144258572557
no_foundation,gauss,4,742.8008816843574
no_foundation,gauss,5,739.8998945702629
no_foundation,gauss,6,694.0720625640587
no_foundation,gauss,7,688.6543543551189
no_foundation,gauss,8,683.278862464242
no_foundation,gauss,9,662.0313214479468
no_foundation,gauss,10,651.721252988015
no_foundation,gauss,11,649.1756914679439
no_foundation,gauss,12,646.6435267066051
no_foundation,gauss,13,644.120548454801
no_foundation,gauss,14,624.1043955084535
