x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.418882291654374298e-19,-3.150769328171064421e-03,1.315137105420205801e-02,4.316012843154057354e-04,-2.971080477552951685e-03,1.214269461955302075e-02
6.698729810778064619e-02,-1.143980310994065032e-18,-3.500739035115148223e-02,4.400534521270765137e-02,1.277733523963595031e-03,-3.232357386016948553e-02,4.020730388221663981e-02
1.464466094067262136e-01,-1.868112025105942830e-18,-1.335310254615181547e-01,7.186042781573757920e-02,8.082476880573655339e-04,-1.217105280795235528e-01,6.472601521950795134e-02
2.499999999999999445e-01,-1.981432021398716685e-18,-2.955709053277055243e-01,7.621949370914775368e-02,-1.542305524821367896e-03,-2.665340382133307151e-01,6.767712061795583267e-02
3.705904774487395192e-01,-1.275944241641733722e-18,-4.544600158619878649e-01,4.908158495914561464e-02,-2.524142915208281174e-03,-4.067764629008720489e-01,4.312650252219348695e-02
4.999999999999999445e-01,-3.036129560098215524e-32,-5.211270299456427502e-01,1.173862617743402076e-15,8.816821448588461791e-17,-4.652009185710250794e-01,1.114672309527155200e-15
6.294095225512603697e-01,1.275944241641710611e-18,-4.544600158619927499e-01,-4.908158495914469871e-02,2.524142915208554393e-03,-4.067764629008769894e-01,-4.312650252219235592e-02
7.499999999999998890e-01,1.981432021398742878e-18,-2.955709053277100207e-01,-7.621949370914873900e-02,1.542305524821650222e-03,-2.665340382133358776e-01,-6.767712061795672085e-02
8.535533905932737309e-01,1.868112025105970564e-18,-1.335310254615200143e-01,-7.186042781573863392e-02,-8.082476880572649200e-04,-1.217105280795257732e-01,-6.472601521950924197e-02
9.330127018922191873e-01,1.143980310994082173e-18,-3.500739035115207204e-02,-4.400534521270831056e-02,-1.277733523963585057e-03,-3.232357386017012391e-02,-4.020730388221738227e-02
9.829629131445341006e-01,3.418882291654428706e-19,-3.150769328171114294e-03,-1.315137105420226792e-02,-4.316012843154074159e-04,-2.971080477553013702e-03,-1.214269461955325320e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
