x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-6.441974988244939973e-14,-3.150768572556808360e-03,1.315136769360880468e-02,4.316010532074567138e-04,-2.971079895540207263e-03,1.214269207543402194e-02
6.698729810778064619e-02,-2.585089083279928101e-13,-3.500738141896209826e-02,4.400533362065091325e-02,1.277732793614962765e-03,-3.232356709610710588e-02,4.020729513921134091e-02
1.464466094067262136e-01,1.497714512662878614e-13,-1.335309899871545414e-01,7.186040795931254721e-02,8.082469692908205534e-04,-1.217105013444162165e-01,6.472600013034411626e-02
2.499999999999999445e-01,-2.710550927306204716e-12,-2.955708238286919309e-01,7.621947153118621698e-02,-1.542305226883784654e-03,-2.665339754895947322e-01,6.767710252382394542e-02
3.705904774487395192e-01,-8.983348178644257929e-12,-4.544598871585826538e-01,4.908157016327512057e-02,-2.524141889878642273e-03,-4.067763594515453329e-01,4.312648892007676926e-02
4.999999999999999445e-01,-7.585618758226347370e-12,-5.211268811834757209e-01,1.955919568801508920e-10,-1.550218338084409551e-10,-4.652007947258718357e-01,-1.065028475976270118e-09
6.294095225512603697e-01,-6.238821762394879879e-12,-4.544598881256154410e-01,-4.908156986332774113e-02,2.524141493525726507e-03,-4.067763543278565264e-01,-4.312649042543577338e-02
7.499999999999998890e-01,-5.901339056813881143e-13,-2.955708251408901699e-01,-7.621947158060525529e-02,1.542304769644151563e-03,-2.665339689781806021e-01,-6.767710196832565916e-02
8.535533905932737309e-01,1.419271185587856246e-12,-1.335309908692273451e-01,-7.186040825658704390e-02,-8.082471862062187403e-04,-1.217104977051613746e-01,-6.472599838754722334e-02
9.330127018922191873e-01,5.248472912944074028e-13,-3.500738174826809740e-02,-4.400533392426982104e-02,-1.277732841765703104e-03,-3.232356608572500845e-02,-4.020729394098548209e-02
9.829629131445341006e-01,1.635620230185635075e-13,-3.150768615573653654e-03,-1.315136782033628389e-02,-4.316010608566508717e-04,-2.971079793813903667e-03,-1.214269169268160017e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
