x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.428168506095126807e-19,-3.150767578035376573e-03,1.315136318131321022e-02,4.316012842122276356e-04,-2.971080477241223611e-03,1.214269461822755670e-02
6.698729810778064619e-02,-1.147620811378213515e-18,-3.500736941571651328e-02,4.400531786947278756e-02,1.277733523650317416e-03,-3.232357385664492988e-02,4.020730387773021469e-02
1.464466094067262136e-01,-1.875931107391782378e-18,-1.335309416922672854e-01,7.186038061582325498e-02,8.082476878282671097e-04,-1.217105280658612038e-01,6.472601521201618024e-02
2.499999999999999445e-01,-1.994064853360141802e-18,-2.955707116935794576e-01,7.621944051570046785e-02,-1.542305524497046380e-03,-2.665340381825303528e-01,6.767712060977361388e-02
3.705904774487395192e-01,-1.292554836944029359e-18,-4.544597084025440714e-01,4.908154904076988262e-02,-2.524142914616819399e-03,-4.067764628527884008e-01,4.312650251679241847e-02
4.999999999999999445e-01,-1.816963550354739308e-20,-5.211266731277776065e-01,-3.205367013208990715e-15,6.686013941142058419e-16,-4.652009185155692728e-01,7.452541499297278693e-15
6.294095225512603697e-01,1.259337822337308153e-18,-4.544597084025296385e-01,-4.908154904077350472e-02,2.524142914618797851e-03,-4.067764628528218740e-01,-4.312650251678414037e-02
7.499999999999998890e-01,1.968804519023349906e-18,-2.955707116935625822e-01,-7.621944051569885803e-02,1.542305524499216519e-03,-2.665340381825688221e-01,-6.767712060977772170e-02
8.535533905932737309e-01,1.860296698869093422e-18,-1.335309416922573211e-01,-7.186038061581882797e-02,-8.082476878272080610e-04,-1.217105280658827282e-01,-6.472601521202599184e-02
9.330127018922191873e-01,1.140341481591804986e-18,-3.500736941571376548e-02,-4.400531786946944302e-02,-1.277733523650118573e-03,-3.232357385665124427e-02,-4.020730387773757686e-02
9.829629131445341006e-01,3.409599962577881509e-19,-3.150767578035116364e-03,-1.315136318131217459e-02,-4.316012842122180404e-04,-2.971080477241838571e-03,-1.214269461822991593e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
