x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.143372894011391929e-19,-2.937010436390551614e-03,1.209157255625493976e-02,3.663050848094757234e-04,-2.812568315336242894e-03,1.138355056236284302e-02
6.698729810778064619e-02,-1.044577151878593587e-18,-3.218771737688043422e-02,4.018161652602393608e-02,1.073643955725476400e-03,-3.030347255000760340e-02,3.750649604524428776e-02
1.464466094067262136e-01,-1.689471480836473579e-18,-1.217280392328177752e-01,6.498868470609338310e-02,6.398773230141870799e-04,-1.134007614740762671e-01,5.995621362784141206e-02
2.499999999999999445e-01,-1.774385587975152241e-18,-2.674956496406866724e-01,6.825506487204119344e-02,-1.364221861016349027e-03,-2.470279681028359209e-01,6.223573339063586535e-02
3.705904774487395192e-01,-1.134228347280496986e-18,-4.091884538182693487e-01,4.363021766406754987e-02,-2.159770201029973576e-03,-3.755944442476069067e-01,3.944197369226484784e-02
4.999999999999999445e-01,-1.860183675294401188e-32,-4.683402729878882176e-01,6.997993712666017421e-16,5.445688789810711855e-17,-4.289526660399755054e-01,7.986874880879718809e-16
6.294095225512603697e-01,1.134228347280478882e-18,-4.091884538182724573e-01,-4.363021766406687679e-02,2.159770201030143146e-03,-3.755944442476103484e-01,-3.944197369226411926e-02
7.499999999999998890e-01,1.774385587975166493e-18,-2.674956496406897810e-01,-6.825506487204177630e-02,1.364221861016517946e-03,-2.470279681028393903e-01,-6.223573339063648291e-02
8.535533905932737309e-01,1.689471480836491682e-18,-1.217280392328190103e-01,-6.498868470609410475e-02,-6.398773230141251720e-04,-1.134007614740778075e-01,-5.995621362784218922e-02
9.330127018922191873e-01,1.044577151878604180e-18,-3.218771737688085055e-02,-4.018161652602437323e-02,-1.073643955725468377e-03,-3.030347255000815851e-02,-3.750649604524482900e-02
9.829629131445341006e-01,3.143372894011428522e-19,-2.937010436390595849e-03,-1.209157255625508721e-02,-3.663050848094769702e-04,-2.812568315336306211e-03,-1.138355056236304251e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
