x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.143372894011391929e-19,-2.937010436390551614e-03,1.209157255625493976e-02,3.663050847381094165e-04,-2.812568315102898300e-03,1.138355056137045455e-02
6.698729810778064619e-02,-1.044577151878593587e-18,-3.218771737688043422e-02,4.018161652602393608e-02,1.073643955509548430e-03,-3.030347254736886001e-02,3.750649604188418390e-02
1.464466094067262136e-01,-1.689471480836473579e-18,-1.217280392328177752e-01,6.498868470609338310e-02,6.398773228588003088e-04,-1.134007614638417732e-01,5.995621362222420397e-02
2.499999999999999445e-01,-1.774385587975152241e-18,-2.674956496406866724e-01,6.825506487204119344e-02,-1.364221860788720998e-03,-2.470279680797394517e-01,6.223573338448802617e-02
3.705904774487395192e-01,-1.134228347280496986e-18,-4.091884538182693487e-01,4.363021766406754987e-02,-2.159770200620246203e-03,-3.755944442115072834e-01,3.944197368819520044e-02
4.999999999999999445e-01,-1.860183675294401188e-32,-4.683402729878882176e-01,6.997993712666017421e-16,4.167352660979373429e-17,-4.289526659983107781e-01,5.972311067303404045e-16
6.294095225512603697e-01,1.134228347280478882e-18,-4.091884538182724573e-01,-4.363021766406687679e-02,2.159770200620377608e-03,-3.755944442115099480e-01,-3.944197368819452043e-02
7.499999999999998890e-01,1.774385587975166493e-18,-2.674956496406897810e-01,-6.825506487204177630e-02,1.364221860788864763e-03,-2.470279680797423660e-01,-6.223573338448851883e-02
8.535533905932737309e-01,1.689471480836491682e-18,-1.217280392328190103e-01,-6.498868470609410475e-02,-6.398773228587522786e-04,-1.134007614638429667e-01,-5.995621362222493256e-02
9.330127018922191873e-01,1.044577151878604180e-18,-3.218771737688085055e-02,-4.018161652602437323e-02,-1.073643955509545394e-03,-3.030347254736924859e-02,-3.750649604188460023e-02
9.829629131445341006e-01,3.143372894011428522e-19,-2.937010436390595849e-03,-1.209157255625508721e-02,-3.663050847381109343e-04,-2.812568315102939066e-03,-1.138355056137059507e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
