x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,3.518129382245518250e-13,-2.937009870706129133e-03,1.209157001330602756e-02,3.663049734276539347e-04,-2.812567938960902278e-03,1.138354898324857659e-02
6.698729810778064619e-02,-7.747989947398306703e-13,-3.218771061095122149e-02,4.018160766021985214e-02,1.073643614362108922e-03,-3.030346835259164345e-02,3.750649072210596874e-02
1.464466094067262136e-01,-2.985373509748259210e-11,-1.217280120478181904e-01,6.498866931749139320e-02,6.398770455944380146e-04,-1.134007452128871773e-01,5.995620469312722828e-02
2.499999999999999445e-01,-7.112355214423189453e-11,-2.674955865837349567e-01,6.825504744649069089e-02,-1.364221606176908245e-03,-2.470279313742767824e-01,6.223572364490528863e-02
3.705904774487395192e-01,-3.155485590695282015e-11,-4.091883531346668379e-01,4.363020558187471337e-02,-2.159769677367443571e-03,-3.755943870668319029e-01,3.944196734150402089e-02
4.999999999999999445e-01,8.147437042417250855e-12,-4.683401549706078804e-01,-4.915476912824144698e-10,-7.060374635784156219e-11,-4.289526005510764795e-01,2.519106036602654700e-10
6.294095225512603697e-01,-8.930800335033994118e-12,-4.091883509988675227e-01,-4.363020611464998866e-02,2.159769471053556156e-03,-3.755943883904456215e-01,-3.944196701512910769e-02
7.499999999999998890e-01,1.183239342499028122e-11,-2.674955840960051012e-01,-6.825504719653463503e-02,1.364221468303288606e-03,-2.470279329010308111e-01,-6.223572388630880386e-02
8.535533905932737309e-01,8.489008690338099943e-12,-1.217280106035022874e-01,-6.498866867020262894e-02,-6.398770747402572363e-04,-1.134007459335289320e-01,-5.995620508918526187e-02
9.330127018922191873e-01,2.878329480633800343e-12,-3.218771018941085638e-02,-4.018160716571605312e-02,-1.073643606991189726e-03,-3.030346857129653099e-02,-3.750649095834517055e-02
9.829629131445341006e-01,7.928213613071348014e-13,-2.937009828778717503e-03,-1.209156985086619687e-02,-3.663049692898181359e-04,-2.812567967696200707e-03,-1.138354907883323830e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
