x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,3.518129382245518250e-13,-2.937009870706129133e-03,1.209157001330602756e-02,3.663049575671679958e-04,-2.812568027510211222e-03,1.138354929597384935e-02
6.698729810778064619e-02,-7.747989947398306703e-13,-3.218771061095122149e-02,4.018160766021985214e-02,1.073643535806507662e-03,-3.030346918514894086e-02,3.750649166558148173e-02
1.464466094067262136e-01,-2.985373509748259210e-11,-1.217280120478181904e-01,6.498866931749139320e-02,6.398768267058339409e-04,-1.134007480057852429e-01,5.995620591273218003e-02
2.499999999999999445e-01,-7.112355214423189453e-11,-2.674955865837349567e-01,6.825504744649069089e-02,-1.364221913844703565e-03,-2.470279360475872987e-01,6.223572406108185406e-02
3.705904774487395192e-01,-3.155485590695282015e-11,-4.091883531346668379e-01,4.363020558187471337e-02,-2.159769966967260788e-03,-3.755943914915309545e-01,3.944196694442873158e-02
4.999999999999999445e-01,8.147437042417250855e-12,-4.683401549706078804e-01,-4.915476912824144698e-10,-3.662653570236725591e-10,-4.289526033334692401e-01,-4.704320245560007996e-10
6.294095225512603697e-01,-8.930800335033994118e-12,-4.091883509988675227e-01,-4.363020611464998866e-02,2.159769278449642001e-03,-3.755943893659259292e-01,-3.944196746433283746e-02
7.499999999999998890e-01,1.183239342499028122e-11,-2.674955840960051012e-01,-6.825504719653463503e-02,1.364221356365193311e-03,-2.470279338048184392e-01,-6.223572362912253159e-02
8.535533905932737309e-01,8.489008690338099943e-12,-1.217280106035022874e-01,-6.498866867020262894e-02,-6.398771322983823860e-04,-1.134007471318447674e-01,-5.995620527266906641e-02
9.330127018922191873e-01,2.878329480633800343e-12,-3.218771018941085638e-02,-4.018160716571605312e-02,-1.073643665777907841e-03,-3.030346903635617803e-02,-3.750649142447972512e-02
9.829629131445341006e-01,7.928213613071348014e-13,-2.937009828778717503e-03,-1.209156985086619687e-02,-3.663049918469422190e-04,-2.812568017414409857e-03,-1.138354923901590925e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
