x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.152660157645545436e-19,-2.937009573520494091e-03,1.209156871175906880e-02,3.663050847778787111e-04,-2.812568315232441812e-03,1.138355056192174621e-02
6.698729810778064619e-02,-1.048218018205305018e-18,-3.218770715376094438e-02,4.018160323024515257e-02,1.073643955629985510e-03,-3.030347254883471522e-02,3.750649604375163454e-02
1.464466094067262136e-01,-1.697291198146104491e-18,-1.217279985394443265e-01,6.498866187531118777e-02,6.398773229459931485e-04,-1.134007614695310417e-01,5.995621362534948873e-02
2.499999999999999445e-01,-1.787019138936351777e-18,-2.674955559460006072e-01,6.825503926127277077e-02,-1.364221860914623758e-03,-2.470279680925911436e-01,6.223573338791486137e-02
3.705904774487395192e-01,-1.150839429572584595e-18,-4.091883054204140668e-01,4.363020042274062121e-02,-2.159770200848122514e-03,-3.755944442316146992e-01,3.944197369046848617e-02
4.999999999999999445e-01,-1.816963554772360377e-20,-4.683401009157067141e-01,-2.195273285404667573e-15,1.699349267493107749e-16,-4.289526660215302600e-01,2.053629717985019940e-15
6.294095225512603697e-01,1.117622414877510968e-18,-4.091883054204042414e-01,-4.363020042274300819e-02,2.159770200848629054e-03,-3.755944442316239140e-01,-3.944197369046619633e-02
7.499999999999998890e-01,1.761758804542761895e-18,-2.674955559459891719e-01,-6.825503926127181320e-02,1.364221860915176051e-03,-2.470279680926015797e-01,-6.223573338791615200e-02
8.535533905932737309e-01,1.681656789591861099e-18,-1.217279985394371933e-01,-6.498866187530824567e-02,-6.398773229457455167e-04,-1.134007614695364680e-01,-5.995621362535211857e-02
9.330127018922191873e-01,1.040938688407063576e-18,-3.218770715375889047e-02,-4.018160323024270314e-02,-1.073643955629943660e-03,-3.030347254883634239e-02,-3.750649604375349416e-02
9.829629131445341006e-01,3.134091614151965965e-19,-2.937009573520297200e-03,-1.209156871175829338e-02,-3.663050847778778437e-04,-2.812568315232602274e-03,-1.138355056192235162e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
