bc,scenario,method,optimizer,device,discretization,lin_w_center,lin_w_over_h,lin_iters,lin_residual,lin_residual_kind,lin_solve_s,lin_assemble_s,lin_total_s,nl_w_center,nl_w_over_h,nl_iters,nl_residual,nl_residual_kind,nl_converged,nl_solve_s,nl_assemble_s,nl_total_s
CCCC,with_foundation,DQ-Newton,newton,cpu,CGL N=21,-0.018056079935996956,0.3611215987199391,1,8.990589120487028e-13,L2_strong_abs,0.06749725341796875,0.37579390000007606,0.4432911534180448,-0.017491297732635556,0.3498259546527111,3,3.9316021901595325e-13,L2_strong_abs,True,1.0427076816558838,0.37579390000007606,1.4185015816559599
CCCC,with_foundation,FEM-Newton,newton,cpu,Q4 nx=96,-0.018055424422135834,0.36110848844271665,1,1.0499370427911078e-18,rel_weak_Linf,,,138.6403169631958,-0.017491040850844797,0.34982081701689594,2,1.3320471156396776e-13,rel_weak_Linf,True,,,430.307235956192
CCCC,with_foundation,ODL-soft,lm,cuda,CGL N=21,-0.018056079518910362,0.36112159037820724,5,5.526245363533229e-09,soft_rowscaled,1.9527817999999115,,1.9527817999999115,-0.017491297741441897,0.34982595482883794,5,1.2799571293607693e-10,soft_rowscaled,True,1.1321895122528076,,1.1321895122528076
CCCC,with_foundation,ODL-soft,gn,cuda,CGL N=21,-0.01805607983100507,0.36112159662010135,5,1.4110504514773797e-09,soft_rowscaled,1.1208641999999145,,1.1208641999999145,-0.017491297740078394,0.34982595480156786,5,1.1000022281098548e-10,soft_rowscaled,True,1.1033577919006348,,1.1033577919006348
CCCC,with_foundation,ODL-soft,lbfgs,cuda,CGL N=21,-0.01805587375905352,0.3611174751810704,9087,9.94802403873464e-06,soft_rowscaled,245.8616027999999,,245.8616027999999,-0.01749152225139579,0.34983044502791577,21182,9.989802037084947e-06,soft_rowscaled,True,368.7676818370819,,368.7676818370819
CCCC,no_foundation,DQ-Newton,newton,cpu,CGL N=21,-0.02066743838375078,0.4133487676750156,1,9.041306847710271e-13,L2_strong_abs,0.07031059265136719,0.3898079000000507,0.4601184926514179,-0.01974226109668954,0.39484522193379074,3,8.774820895299553e-13,L2_strong_abs,True,1.1445229053497314,0.3898079000000507,1.5343308053497822
CCCC,no_foundation,FEM-Newton,newton,cpu,Q4 nx=96,-0.020665340759057058,0.41330681518114115,1,1.4205007223250634e-18,rel_weak_Linf,,,142.3564419746399,-0.01974103550908278,0.3948207101816556,2,7.488112606946967e-13,rel_weak_Linf,True,,,438.5122969150543
CCCC,no_foundation,ODL-soft,lm,cuda,CGL N=21,-0.020667437061127364,0.4133487412225473,5,1.5382583289576043e-08,soft_rowscaled,1.3521140999996533,,1.3521140999996533,-0.01974226112911387,0.3948452225822774,5,4.3023585457209947e-10,soft_rowscaled,True,1.104177474975586,,1.104177474975586
CCCC,no_foundation,ODL-soft,gn,cuda,CGL N=21,-0.0206674383801546,0.41334876760309197,6,4.234164343338563e-11,soft_rowscaled,1.353652400000101,,1.353652400000101,-0.01974226112724941,0.39484522254498816,5,4.11509738106011e-10,soft_rowscaled,True,1.120377540588379,,1.120377540588379
CCCC,no_foundation,ODL-soft,lbfgs,cuda,CGL N=21,-0.020666968990799152,0.413339379815983,9537,9.995116430079474e-06,soft_rowscaled,264.6874461000002,,264.6874461000002,-0.019742865086307758,0.39485730172615513,21612,9.996160833935736e-06,soft_rowscaled,True,486.9575252532959,,486.9575252532959
SSSS,with_foundation,DQ-Newton,newton,cpu,CGL N=21,-0.046082655787937785,0.9216531157587556,1,3.104999688451804e-12,L2_strong_abs,0.0834507942199707,0.3899735999998484,0.4734243942198191,-0.039787932432754594,0.7957586486550918,4,3.495538725011461e-12,L2_strong_abs,True,1.567176103591919,0.3899735999998484,1.9571497035917673
SSSS,with_foundation,FEM-Newton,newton,cpu,Q4 nx=96,-0.04608320918730374,0.9216641837460748,1,4.200383445874872e-18,rel_weak_Linf,,,150.26931023597717,-0.03978783275234878,0.7957566550469756,3,4.116129233356248e-12,rel_weak_Linf,True,,,610.6287379264832
SSSS,with_foundation,ODL-soft,lm,cuda,CGL N=21,-0.04607008887731215,0.921401777546243,8,1.3218902045826678e-05,soft_rowscaled,10.32343949999995,,10.32343949999995,-0.03978793369821342,0.7957586739642684,20,1.8543146367806155e-09,soft_rowscaled,True,24.59388494491577,,24.59388494491577
SSSS,with_foundation,ODL-soft,gn,cuda,CGL N=21,-0.04608265361448754,0.9216530722897507,152,2.2941364054100348e-09,soft_rowscaled,187.88316799999984,,187.88316799999984,-0.03978793372103042,0.7957586744206083,99,1.8961210127812923e-09,soft_rowscaled,True,115.96353507041931,,115.96353507041931
SSSS,with_foundation,ODL-soft,lbfgs,cuda,CGL N=21,-0.04621155941680595,0.924231188336119,17816,0.0002853883780544009,soft_rowscaled,546.8874590999994,,546.8874590999994,-0.039811351969042216,0.7962270393808443,50000,0.00014501461309946397,soft_rowscaled,True,1508.1948573589325,,1508.1948573589325
SSSS,no_foundation,DQ-Newton,newton,cpu,CGL N=21,-0.06464240775929225,1.292848155185845,1,4.6543041461348035e-12,L2_strong_abs,0.08333015441894531,0.4030190000003131,0.4863491544192584,-0.04875987660569665,0.975197532113933,5,2.671607897925697e-12,L2_strong_abs,True,1.9916105270385742,0.4030190000003131,2.3946295270388873
SSSS,no_foundation,FEM-Newton,newton,cpu,Q4 nx=96,-0.0646392136489065,1.2927842729781298,1,3.308351873297687e-18,rel_weak_Linf,,,146.40513157844543,-0.048757648858966794,0.9751529771793358,5,4.635359689996391e-15,rel_weak_Linf,True,,,899.4691112041473
SSSS,no_foundation,ODL-soft,lm,cuda,CGL N=21,-0.06463916527434346,1.2927833054868691,9,2.3711097623127446e-06,soft_rowscaled,10.717835400000695,,10.717835400000695,-0.04875987735926287,0.9751975471852573,39,1.004676550874712e-09,soft_rowscaled,True,46.01735973358154,,46.01735973358154
