x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-6.441974988244939973e-14,-3.150768572556808360e-03,1.315136769360880468e-02,4.316011451906431894e-04,-2.971080048453705533e-03,1.214269280852731288e-02
6.698729810778064619e-02,-2.585089083279928101e-13,-3.500738141896209826e-02,4.400533362065091325e-02,1.277733099949253598e-03,-3.232356903217938754e-02,4.020729775731481798e-02
1.464466094067262136e-01,1.497714512662878614e-13,-1.335309899871545414e-01,7.186040795931254721e-02,8.082473639553863385e-04,-1.217105093436927493e-01,6.472600487003725422e-02
2.499999999999999445e-01,-2.710550927306204716e-12,-2.955708238286919309e-01,7.621947153118621698e-02,-1.542305133112026501e-03,-2.665339955708440067e-01,6.767710905943195854e-02
3.705904774487395192e-01,-8.983348178644257929e-12,-4.544598871585826538e-01,4.908157016327512057e-02,-2.524142142446896778e-03,-4.067763955138644083e-01,4.312649465536092658e-02
4.999999999999999445e-01,-7.585618758226347370e-12,-5.211268811834757209e-01,1.955919568801508920e-10,1.142201717307343316e-11,-4.652008402099621631e-01,-4.801020546602816711e-11
6.294095225512603697e-01,-6.238821762394879879e-12,-4.544598881256154410e-01,-4.908156986332774113e-02,2.524142113615674213e-03,-4.067763954221230160e-01,-4.312649452608348366e-02
7.499999999999998890e-01,-5.901339056813881143e-13,-2.955708251408901699e-01,-7.621947158060525529e-02,1.542305111456226735e-03,-2.665339958560485889e-01,-6.767710898893219973e-02
8.535533905932737309e-01,1.419271185587856246e-12,-1.335309908692273451e-01,-7.186040825658704390e-02,-8.082473591905137058e-04,-1.217105095628337325e-01,-6.472600497872352254e-02
9.330127018922191873e-01,5.248472912944074028e-13,-3.500738174826809740e-02,-4.400533392426982104e-02,-1.277733097217441860e-03,-3.232356911086818607e-02,-4.020729779827563605e-02
9.829629131445341006e-01,1.635620230185635075e-13,-3.150768615573653654e-03,-1.315136782033628389e-02,-4.316011445845121045e-04,-2.971080061884344078e-03,-1.214269283165568536e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
