x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.428168506095126807e-19,-3.150767578035376573e-03,1.315136318131321022e-02,4.316012842210304899e-04,-2.971080477267694624e-03,1.214269461834017669e-02
6.698729810778064619e-02,-1.147620811378213515e-18,-3.500736941571651328e-02,4.400531786947278756e-02,1.277733523677049288e-03,-3.232357385694440560e-02,4.020730387811162487e-02
1.464466094067262136e-01,-1.875931107391782378e-18,-1.335309416922672854e-01,7.186038061582325498e-02,8.082476878477745088e-04,-1.217105280670230383e-01,6.472601521265386459e-02
2.499999999999999445e-01,-1.994064853360141802e-18,-2.955707116935794576e-01,7.621944051570046785e-02,-1.542305524525054358e-03,-2.665340381851518115e-01,6.767712061047066741e-02
3.705904774487395192e-01,-1.292554836944029359e-18,-4.544597084025440714e-01,4.908154904076988262e-02,-2.524142914667913944e-03,-4.067764628568810159e-01,4.312650251725078099e-02
4.999999999999999445e-01,-1.816963550354739308e-20,-5.211266731277776065e-01,-3.205367013208990715e-15,7.189136717331481023e-17,-4.652009185202797825e-01,9.310232896354173712e-16
6.294095225512603697e-01,1.259337822337308153e-18,-4.544597084025296385e-01,-4.908154904077350472e-02,2.524142914668138591e-03,-4.067764628568851792e-01,-4.312650251724983036e-02
7.499999999999998890e-01,1.968804519023349906e-18,-2.955707116935625822e-01,-7.621944051569885803e-02,1.542305524525290064e-03,-2.665340381851561968e-01,-6.767712061047137517e-02
8.535533905932737309e-01,1.860296698869093422e-18,-1.335309416922573211e-01,-7.186038061581882797e-02,-8.082476878476874474e-04,-1.217105280670249812e-01,-6.472601521265491931e-02
9.330127018922191873e-01,1.140341481591804986e-18,-3.500736941571376548e-02,-4.400531786946944302e-02,-1.277733523677039313e-03,-3.232357385694502316e-02,-4.020730387811229795e-02
9.829629131445341006e-01,3.409599962577881509e-19,-3.150767578035116364e-03,-1.315136318131217459e-02,-4.316012842210318994e-04,-2.971080477267754039e-03,-1.214269461834040220e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
