x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,3.518129382245518250e-13,-2.937009870706129133e-03,1.209157001330602756e-02,3.663049727125491472e-04,-2.812567920990649388e-03,1.138354889972152326e-02
6.698729810778064619e-02,-7.747989947398306703e-13,-3.218771061095122149e-02,4.018160766021985214e-02,1.073643621705253027e-03,-3.030346815377352176e-02,3.750649051711225229e-02
1.464466094067262136e-01,-2.985373509748259210e-11,-1.217280120478181904e-01,6.498866931749139320e-02,6.398771021904784773e-04,-1.134007447078008574e-01,5.995620455095314327e-02
2.499999999999999445e-01,-7.112355214423189453e-11,-2.674955865837349567e-01,6.825504744649069089e-02,-1.364221470673192358e-03,-2.470279307485077624e-01,6.223572361966461103e-02
3.705904774487395192e-01,-3.155485590695282015e-11,-4.091883531346668379e-01,4.363020558187471337e-02,-2.159769540492313417e-03,-3.755943865726412700e-01,3.944196755271636712e-02
4.999999999999999445e-01,8.147437042417250855e-12,-4.683401549706078804e-01,-4.915476912824144698e-10,8.285234979983546169e-12,-4.289526008403848345e-01,6.377431363975937323e-10
6.294095225512603697e-01,-8.930800335033994118e-12,-4.091883509988675227e-01,-4.363020611464998866e-02,2.159769625161602792e-03,-3.755943893776442222e-01,-3.944196688247236793e-02
7.499999999999998890e-01,1.183239342499028122e-11,-2.674955840960051012e-01,-6.825504719653463503e-02,1.364221589515272198e-03,-2.470279339496312121e-01,-6.223572397378410170e-02
8.535533905932737309e-01,8.489008690338099943e-12,-1.217280106035022874e-01,-6.498866867020262894e-02,-6.398770487885577880e-04,-1.134007465687618121e-01,-5.995620536860471472e-02
9.330127018922191873e-01,2.878329480633800343e-12,-3.218771018941085638e-02,-4.018160716571605312e-02,-1.073643619898994976e-03,-3.030346872283999279e-02,-3.750649114609113516e-02
9.829629131445341006e-01,7.928213613071348014e-13,-2.937009828778717503e-03,-1.209156985086619687e-02,-3.663049750262476422e-04,-2.812567982708195392e-03,-1.138354911543614650e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
