x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-3.152660157645545436e-19,-2.937009573520494091e-03,1.209156871175906880e-02,3.663050847824155551e-04,-2.812568315247193033e-03,1.138355056198456401e-02
6.698729810778064619e-02,-1.048218018205305018e-18,-3.218770715376094438e-02,4.018160323024515257e-02,1.073643955643725605e-03,-3.030347254900173787e-02,3.750649604396449899e-02
1.464466094067262136e-01,-1.697291198146104491e-18,-1.217279985394443265e-01,6.498866187531118777e-02,6.398773229559267172e-04,-1.134007614701796479e-01,5.995621362570598134e-02
2.499999999999999445e-01,-1.787019138936351777e-18,-2.674955559460006072e-01,6.825503926127277077e-02,-1.364221860929070752e-03,-2.470279680940569988e-01,6.223573338830587498e-02
3.705904774487395192e-01,-1.150839429572584595e-18,-4.091883054204140668e-01,4.363020042274062121e-02,-2.159770200874257858e-03,-3.755944442339081424e-01,3.944197369072747344e-02
4.999999999999999445e-01,-1.816963554772360377e-20,-4.683401009157067141e-01,-2.195273285404667573e-15,6.506729485250652535e-17,-4.289526660241765321e-01,9.216911060839769180e-16
6.294095225512603697e-01,1.117622414877510968e-18,-4.091883054204042414e-01,-4.363020042274300819e-02,2.159770200874457785e-03,-3.755944442339120282e-01,-3.944197369072666853e-02
7.499999999999998890e-01,1.761758804542761895e-18,-2.674955559459891719e-01,-6.825503926127181320e-02,1.364221860929264608e-03,-2.470279680940608014e-01,-6.223573338830663132e-02
8.535533905932737309e-01,1.681656789591861099e-18,-1.217279985394371933e-01,-6.498866187530824567e-02,-6.398773229558597135e-04,-1.134007614701812300e-01,-5.995621362570689034e-02
9.330127018922191873e-01,1.040938688407063576e-18,-3.218770715375889047e-02,-4.018160323024270314e-02,-1.073643955643718015e-03,-3.030347254900225482e-02,-3.750649604396504716e-02
9.829629131445341006e-01,3.134091614151965965e-19,-2.937009573520297200e-03,-1.209156871175829338e-02,-3.663050847824169103e-04,-2.812568315247246809e-03,-1.138355056198475136e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
