x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999888241291046e-03,8.259953006017894950e-07,-4.504426324274390936e-04,3.585784696042537689e-03,1.204656873596832156e-04,-4.566738789435476065e-04,3.334405366331338882e-03
9.999999776482582092e-03,1.631094505682995077e-06,-1.223039813339710236e-03,7.062494754791259766e-03,2.337420592084527016e-04,-1.211624708957970142e-03,6.566075142472982407e-03
1.499999966472387314e-02,2.417497398710111156e-06,-2.317037433385848999e-03,1.043118350207805634e-02,3.397525870241224766e-04,-2.263244241476058960e-03,9.695998392999172211e-03
1.999999955296516418e-02,3.186012236255919561e-06,-3.729905467480421066e-03,1.369291264563798904e-02,4.384240310173481703e-04,-3.608644241467118263e-03,1.272517908364534378e-02
2.499999850988388062e-02,3.938632744393544272e-06,-5.457477178424596786e-03,1.684874668717384338e-02,5.296935560181736946e-04,-5.243731662631034851e-03,1.565460860729217529e-02
2.999999932944774628e-02,4.675724994740448892e-06,-7.494085934013128281e-03,1.989976316690444946e-02,6.135007133707404137e-04,-7.163282018154859543e-03,1.848530769348144531e-02
3.500000014901161194e-02,5.399715519160963595e-06,-9.832778945565223694e-03,2.284703031182289124e-02,6.897994317114353180e-04,-9.361044503748416901e-03,2.121828496456146240e-02
3.999999910593032837e-02,6.111520178819773719e-06,-1.246549468487501144e-02,2.569164149463176727e-02,7.585452403873205185e-04,-1.182989124208688736e-02,2.385456115007400513e-02
4.499999806284904480e-02,6.811874300183262676e-06,-1.538326498121023178e-02,2.843469195067882538e-02,8.197124698199331760e-04,-1.456189341843128204e-02,2.639516629278659821e-02
4.999999701976776123e-02,7.502490461774868891e-06,-1.857643201947212219e-02,3.107726946473121643e-02,8.732761489227414131e-04,-1.754849217832088470e-02,2.884113602340221405e-02
5.499999970197677612e-02,8.182294550351798534e-06,-2.203480526804924011e-02,3.362048044800758362e-02,9.192349971272051334e-04,-2.078061923384666443e-02,3.119350224733352661e-02
5.999999865889549255e-02,8.854223779053427279e-06,-2.574789337813854218e-02,3.606543317437171936e-02,9.575887233950197697e-04,-2.424882724881172180e-02,3.345332294702529907e-02
6.499999761581420898e-02,9.518753358861431479e-06,-2.970496006309986115e-02,3.841323778033256531e-02,9.883611928671598434e-04,-2.794338576495647430e-02,3.562163189053535461e-02
7.000000029802322388e-02,1.017468457575887442e-05,-3.389529511332511902e-02,4.066500067710876465e-02,1.011576037853956223e-03,-3.185444697737693787e-02,3.769950196146965027e-02
7.499999552965164185e-02,1.082487506209872663e-05,-3.830817341804504395e-02,4.282186180353164673e-02,1.027287216857075691e-03,-3.597207367420196533e-02,3.968799859285354614e-02
7.999999821186065674e-02,1.146698468801332638e-05,-4.293312132358551025e-02,4.488493874669075012e-02,1.035553403198719025e-03,-4.028639569878578186e-02,4.158819094300270081e-02
8.500000089406967163e-02,1.210760456160642207e-05,-4.775978624820709229e-02,4.685535281896591187e-02,1.036445610225200653e-03,-4.478758946061134338e-02,4.340114817023277283e-02
8.999999612569808960e-02,1.273938960366649553e-05,-5.277807265520095825e-02,4.873424768447875977e-02,1.030067563988268375e-03,-4.946601018309593201e-02,4.512795060873031616e-02
9.499999880790710449e-02,1.336860350420465693e-05,-5.797821655869483948e-02,5.052275210618972778e-02,1.016516122035682201e-03,-5.431222915649414062e-02,4.676968976855278015e-02
9.999999403953552246e-02,1.399161556037142873e-05,-6.335077434778213501e-02,5.222200229763984680e-02,9.959294693544507027e-04,-5.931699648499488831e-02,4.832745715975761414e-02
1.049999967217445374e-01,1.461010469938628376e-05,-6.888648867607116699e-02,5.383317172527313232e-02,9.684355463832616806e-04,-6.447132676839828491e-02,4.980235919356346130e-02
1.099999994039535522e-01,1.522651746199699119e-05,-7.457645237445831299e-02,5.535737425088882446e-02,9.342043194919824600e-04,-6.976648420095443726e-02,5.119550228118896484e-02
1.149999946355819702e-01,1.583337143529206514e-05,-8.041202276945114136e-02,5.679576098918914795e-02,8.934003417380154133e-04,-7.519394904375076294e-02,5.250797048211097717e-02
1.199999973177909851e-01,1.644259828026406467e-05,-8.638475835323333740e-02,5.814949423074722290e-02,8.462248952127993107e-04,-8.074548840522766113e-02,5.374090746045112610e-02
1.250000000000000000e-01,1.704281748970970511e-05,-9.248641133308410645e-02,5.941973626613616943e-02,7.928818813525140285e-04,-8.641309291124343872e-02,5.489540472626686096e-02
1.299999952316284180e-01,1.764157423167489469e-05,-9.870901703834533691e-02,6.060761958360671997e-02,7.335967384278774261e-04,-9.218890964984893799e-02,5.597261339426040649e-02
1.349999904632568359e-01,1.823982165660709143e-05,-1.050446331501007080e-01,6.171430274844169617e-02,6.686077103950083256e-04,-9.806536883115768433e-02,5.697363242506980896e-02
1.400000005960464478e-01,1.882891046989243478e-05,-1.114855855703353882e-01,6.274098157882690430e-02,5.981689901091158390e-04,-1.040350794792175293e-01,5.789960548281669617e-02
1.449999958276748657e-01,1.942262861120980233e-05,-1.180242076516151428e-01,6.368876993656158447e-02,5.225548520684242249e-04,-1.100907623767852783e-01,5.875166505575180054e-02
