x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999888241291046e-03,3.952346006030893477e-08,-4.799549060408025980e-04,3.868864383548498154e-03,1.447667455067858100e-04,-4.763604083564132452e-04,3.562038764357566833e-03
9.999999776482582092e-03,7.212187824734428432e-08,-1.310243620537221432e-03,7.626239210367202759e-03,2.808870340231806040e-04,-1.271247048862278461e-03,7.016445510089397430e-03
1.499999966472387314e-02,9.973802406193499337e-08,-2.490178681910037994e-03,1.127300038933753967e-02,4.082982777617871761e-04,-2.383724786341190338e-03,1.036421954631805420e-02
1.999999955296516418e-02,1.242042486637728871e-07,-4.017230123281478882e-03,1.481002848595380783e-02,5.269449902698397636e-04,-3.811341943219304085e-03,1.360635552555322647e-02
2.499999850988388062e-02,1.472896826726355357e-07,-5.887116771191358566e-03,1.823821291327476501e-02,6.367766181938350201e-04,-5.550224334001541138e-03,1.674386113882064819e-02
2.999999932944774628e-02,1.715591935180782457e-07,-8.094027638435363770e-03,2.155844680964946747e-02,7.377516594715416431e-04,-7.595160976052284241e-03,1.977775245904922485e-02
3.500000014901161194e-02,1.971075107576325536e-07,-1.063075847923755646e-02,2.477162517607212067e-02,8.298348984681069851e-04,-9.939712472259998322e-03,2.270903624594211578e-02
3.999999910593032837e-02,2.277463551081382320e-07,-1.348892971873283386e-02,2.787866629660129547e-02,9.129989193752408028e-04,-1.257637981325387955e-02,2.553873695433139801e-02
4.499999806284904480e-02,2.590426504411880160e-07,-1.665923930704593658e-02,3.088048286736011505e-02,9.872303344309329987e-04,-1.549675222486257553e-02,2.826788648962974548e-02
4.999999701976776123e-02,2.997665262682858156e-07,-2.013157308101654053e-02,3.377799317240715027e-02,1.052525592967867851e-03,-1.869165524840354919e-02,3.089750930666923523e-02
5.499999970197677612e-02,3.462081679117545718e-07,-2.389531023800373077e-02,3.657211735844612122e-02,1.108891097828745842e-03,-2.215134352445602417e-02,3.342865779995918274e-02
5.999999865889549255e-02,4.019466075533273397e-07,-2.793945185840129852e-02,3.926379606127738953e-02,1.156342565082013607e-03,-2.586560882627964020e-02,3.586236760020256042e-02
6.499999761581420898e-02,4.662942387767543551e-07,-3.225272893905639648e-02,4.185397177934646606e-02,1.194920740090310574e-03,-2.982396632432937622e-02,3.819967806339263916e-02
7.000000029802322388e-02,5.403416594162990805e-07,-3.682387992739677429e-02,4.434358328580856323e-02,1.224672771058976650e-03,-3.401580825448036194e-02,4.044166952371597290e-02
7.499999552965164185e-02,6.233782414710731246e-07,-4.164163023233413696e-02,4.673357307910919189e-02,1.245657214894890785e-03,-3.843044117093086243e-02,4.258937016129493713e-02
7.999999821186065674e-02,7.174127176767797209e-07,-4.669487848877906799e-02,4.902493581175804138e-02,1.257953816093504429e-03,-4.305727779865264893e-02,4.464388266205787659e-02
8.500000089406967163e-02,8.237331599048047792e-07,-5.197272077202796936e-02,5.121859163045883179e-02,1.261660712771117687e-03,-4.788582026958465576e-02,4.660625010728836060e-02
8.999999612569808960e-02,9.418666877536452375e-07,-5.746447667479515076e-02,5.331554636359214783e-02,1.256885356269776821e-03,-5.290581285953521729e-02,4.847756773233413696e-02
9.499999880790710449e-02,1.073924977390561253e-06,-6.315983086824417114e-02,5.531674996018409729e-02,1.243754173628985882e-03,-5.810724198818206787e-02,5.025890097022056580e-02
9.999999403953552246e-02,1.218917191181390081e-06,-6.904865056276321411e-02,5.722320452332496643e-02,1.222416525706648827e-03,-6.348031759262084961e-02,5.195135250687599182e-02
