scenario,k1,k2,method,optimizer,mode,source,max_abs_w,R_PDE_L2_norm
with_foundation,0.01,0.001,PINN-Adam,Adam,linear,Lw_db09d74afccd.pth,0.465936311,0.68991253
with_foundation,0.01,0.001,PINN-Adam,Adam,nonlinear,NLw_db09d74afccd.pth,0.428730895,0.989421037
with_foundation,0.01,0.001,ODIL-DQ (LM),LM,linear,recomputed from displacement.csv (same metric as PINN),0.468340101,6.74E-08
with_foundation,0.01,0.001,ODIL-DQ (LM),LM,nonlinear,recomputed from displacement.csv (same metric as PINN),0.428952666,5.73E-12
with_foundation,0.01,0.001,ODIL-DQ (GN),GN,linear,recomputed from displacement.csv (same metric as PINN),0.468340273,1.07E-11
with_foundation,0.01,0.001,ODIL-DQ (GN),GN,nonlinear,recomputed from displacement.csv (same metric as PINN),0.428952666,1.36E-11
with_foundation,0.01,0.001,ODIL-DQ (L-BFGS),L-BFGS,linear,recomputed from displacement.csv (same metric as PINN),0.468340155,5.18E-08
with_foundation,0.01,0.001,ODIL-DQ (L-BFGS),L-BFGS,nonlinear,recomputed from displacement.csv (same metric as PINN),0.428952601,3.89E-08
no_foundation,0,0,PINN-Adam,Adam,linear,Lw_W_0.025_T_300.0_H_0.8_qn0.08_Tanh.pth,0.519000624,0.767455522
no_foundation,0,0,PINN-Adam,Adam,nonlinear,NLw_W_0.025_T_300.0_H_0.8_qn0.08_Tanh.pth,0.464851334,1.051227776
no_foundation,0,0,ODIL-DQ (LM),LM,linear,recomputed from displacement.csv (same metric as PINN),0.521126673,1.26E-07
no_foundation,0,0,ODIL-DQ (LM),LM,nonlinear,recomputed from displacement.csv (same metric as PINN),0.465200919,1.64E-11
no_foundation,0,0,ODIL-DQ (GN),GN,linear,recomputed from displacement.csv (same metric as PINN),0.52112703,8.61E-11
no_foundation,0,0,ODIL-DQ (GN),GN,nonlinear,recomputed from displacement.csv (same metric as PINN),0.465200919,4.08E-11
no_foundation,0,0,ODIL-DQ (L-BFGS),L-BFGS,linear,recomputed from displacement.csv (same metric as PINN),0.521126881,5.30E-08
no_foundation,0,0,ODIL-DQ (L-BFGS),L-BFGS,nonlinear,recomputed from displacement.csv (same metric as PINN),0.46520084,4.53E-08
