x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,-6.441974988244939973e-14,-3.150768572556808360e-03,1.315136769360880468e-02,5.374570203431634340e-04,-3.274352217807349318e-03,1.342740493283699384e-02
6.698729810778064619e-02,-2.585089083279928101e-13,-3.500738141896209826e-02,4.400533362065091325e-02,1.599723225586176635e-03,-3.573955977909315518e-02,4.455007800916036681e-02
1.464466094067262136e-01,1.497714512662878614e-13,-1.335309899871545414e-01,7.186040795931254721e-02,1.047041126009274703e-03,-1.349359130972286602e-01,7.197683260789411452e-02
2.499999999999999445e-01,-2.710550927306204716e-12,-2.955708238286919309e-01,7.621947153118621698e-02,-1.868802761008664642e-03,-2.963604047772436245e-01,7.561431665104899336e-02
3.705904774487395192e-01,-8.983348178644257929e-12,-4.544598871585826538e-01,4.908157016327512057e-02,-3.128308488742701041e-03,-4.533983173094409125e-01,4.838591565406327732e-02
4.999999999999999445e-01,-7.585618758226347370e-12,-5.211268811834757209e-01,1.955919568801508920e-10,-2.708696347791415148e-08,-5.190163237396472340e-01,-1.220534176959190319e-07
6.294095225512603697e-01,-6.238821762394879879e-12,-4.544598881256154410e-01,-4.908156986332774113e-02,3.128272433717251000e-03,-4.533981245686088957e-01,-4.838567542152868300e-02
7.499999999999998890e-01,-5.901339056813881143e-13,-2.955708251408901699e-01,-7.621947158060525529e-02,1.868837246172325942e-03,-2.963607318083534836e-01,-7.561435408783849510e-02
8.535533905932737309e-01,1.419271185587856246e-12,-1.335309908692273451e-01,-7.186040825658704390e-02,-1.047036239248565724e-03,-1.349356893011276204e-01,-7.197709555482584287e-02
9.330127018922191873e-01,5.248472912944074028e-13,-3.500738174826809740e-02,-4.400533392426982104e-02,-1.599724389749783730e-03,-3.573929252349784119e-02,-4.454992265415744224e-02
9.829629131445341006e-01,1.635620230185635075e-13,-3.150768615573653654e-03,-1.315136782033628389e-02,-5.374548050045574064e-04,-3.274314238005851963e-03,-1.342730846310111366e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
