x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703708685546584389e-02,3.518129382245518250e-13,-2.937009870706129133e-03,1.209157001330602756e-02,3.663045363030023550e-04,-2.812561814636232917e-03,1.138353036678431754e-02
6.698729810778064619e-02,-7.747989947398306703e-13,-3.218771061095122149e-02,4.018160766021985214e-02,1.073642914160311771e-03,-3.030341859366574714e-02,3.750644413258055754e-02
1.464466094067262136e-01,-2.985373509748259210e-11,-1.217280120478181904e-01,6.498866931749139320e-02,6.398774895809538612e-04,-1.134006264956630150e-01,5.995618962484995651e-02
2.499999999999999445e-01,-7.112355214423189453e-11,-2.674955865837349567e-01,6.825504744649069089e-02,-1.364228504428365496e-03,-2.470278799489437904e-01,6.223579534742337133e-02
3.705904774487395192e-01,-3.155485590695282015e-11,-4.091883531346668379e-01,4.363020558187471337e-02,-2.159788720370635264e-03,-3.755945076835713881e-01,3.944200067197956711e-02
4.999999999999999445e-01,8.147437042417250855e-12,-4.683401549706078804e-01,-4.915476912824144698e-10,-1.930919909512891204e-08,-4.289526593525797016e-01,-5.579951903452028405e-08
6.294095225512603697e-01,-8.930800335033994118e-12,-4.091883509988675227e-01,-4.363020611464998866e-02,2.159751555027786436e-03,-3.755943702108081039e-01,-3.944194483814938978e-02
7.499999999999998890e-01,1.183239342499028122e-11,-2.674955840960051012e-01,-6.825504719653463503e-02,1.364215197109151052e-03,-2.470280508631495231e-01,-6.223566937056854154e-02
8.535533905932737309e-01,8.489008690338099943e-12,-1.217280106035022874e-01,-6.498866867020262894e-02,-6.398770656214644928e-04,-1.134008946547722246e-01,-5.995623635412572483e-02
9.330127018922191873e-01,2.878329480633800343e-12,-3.218771018941085638e-02,-4.018160716571605312e-02,-1.073644920130772474e-03,-3.030352615460767465e-02,-3.750654741077880799e-02
9.829629131445341006e-01,7.928213613071348014e-13,-2.937009828778717503e-03,-1.209156985086619687e-02,-3.663056107939696932e-04,-2.812574794727121762e-03,-1.138357062709628893e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
